occupation_uri,occupation_title,skill_uri,skill_title,relation_type
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/b1272de4-1f5f-408b-8b26-061f2550fc72,e-commerce systems,essential
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/fb3bc9b5-2297-4bba-85b1-60f696a92db8,characteristics of services,essential
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/4f992952-f3ea-473b-9562-183194966704,sell gaming software,essential
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/a59708e3-e654-4e37-8b8a-741c3b756eee,multimedia systems,essential
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/415abd43-e8e5-4643-b5da-5f11307af57a,use different communication channels,essential
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/1585fc98-bfe4-461f-97fc-734055a2c3ce,characteristics of products,essential
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/757109c4-c04b-40b6-ada8-9bdc4153387e,sell software maintenance contracts,essential
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/5dd01a1e-7ba0-4b7f-a76c-ed811c12bfde,apply numeracy skills,essential
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/7e9daad3-8604-4839-af9b-dc6f8db3ef68,stock shelves,essential
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller",http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a,issue sales invoices,essential
