uri,title
http://data.europa.eu/esco/occupation/3ff2fdf4-af54-4517-873d-73e9353f112e,"computer games, multimedia and software specialised seller"
http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1,software developer
http://data.europa.eu/esco/occupation/57af9090-55b4-4911-b2d0-86db01c00b02,embedded systems software developer
http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86,software analyst
http://data.europa.eu/esco/occupation/691c86d9-d88f-440f-b885-7ed9726f782c,computer software and multimedia shop manager
http://data.europa.eu/esco/occupation/f31f487b-4ce2-40f3-90e8-7d0011b4ef1d,software manager
http://data.europa.eu/esco/occupation/106f79e4-6264-45f1-9e7a-297435cd684b,software tester
http://data.europa.eu/esco/occupation/bd272aee-adc9-4a06-a15c-a73b4b4a46a7,ICT application developer
http://data.europa.eu/esco/occupation/243f3b7e-cd7a-419a-94c0-d4f2040f09af,"computers, computer peripheral equipment and software distribution manager"
http://data.europa.eu/esco/occupation/bb6198c4-1d3e-40b9-9cc4-ad2dd9d7c74b,industrial mobile devices software developer
http://data.europa.eu/esco/occupation/d0aa0792-4345-474b-9365-686cf4869d2e,software architect
http://data.europa.eu/esco/occupation/83b30677-6468-4a04-b20c-15daf6bc8fb5,"import export specialist in computers, peripheral equipment and software"
http://data.europa.eu/esco/occupation/35d4ab0d-5a2a-4ed8-b8ba-7169314168f5,"wholesale merchant in computers, computer peripheral equipment and software"
http://data.europa.eu/esco/occupation/7d9c060a-f280-441d-baf9-7d4a6b520a2a,"import export manager in computers, computer peripheral equipment and software"
http://data.europa.eu/esco/occupation/10469d70-78a3-4650-9e29-d04de13c62c1,embedded system designer
http://data.europa.eu/esco/occupation/24161923-e3e6-4096-b377-f1ee8a7ea31b,satellite engineer
http://data.europa.eu/esco/occupation/456ed487-02f2-45c9-9213-d0fd8e9a069d,ICT application configurator
http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d,web developer
http://data.europa.eu/esco/occupation/a7c1d23d-aeca-4bee-9a08-5993ed98b135,ICT system developer
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,air traffic safety technician
