term,frequency
Excel,339
AutoCAD,291
Python,226
SAP,221
B2B,203
B2C,184
Direct Sales,163
Kế toán,98
Telesales,96
Bán lẻ - Hàng tiêu dùng - FMCG,91
Marketing / Quảng cáo,83
Tài chính,79
Online Sales,78
Xây dựng,64
Kế toán tổng hợp,55
Ngân hàng,47
Điện / Điện tử / Điện lạnh,45
Bất động sản,42
IT - Phần mềm,41
Cơ khí / Tự động hóa,40
Thương mại điện tử,40
Logistic / Vận tải,38
Sản xuất,33
Công nghệ kỹ thuật,32
Photoshop,32
Kiểm toán,26
Sales bất động sản/Môi giới bất động sản,26
MISA,26
Tư vấn tài chính,25
Word,25
Thuế,24
Y tế / Dược phẩm,24
Nhân sự,22
Thực phẩm / Đồ uống,22
Bán hàng tại cửa hàng/showroom,22
Xuất nhập khẩu / Hải quan,22
Thiết kế / Kiến trúc,21
SketchUp,19
PowerPoint,18
Chăm sóc sức khỏe / Làm đẹp,18
Bảo hiểm,17
Nhà hàng / Khách sạn,17
May mặc / Thời trang,17
Kế toán trưởng,16
Giáo dục / Đào tạo,16
Quan hệ khách hàng cá nhân/doanh nghiệp,15
Kinh doanh thiết bị/vật liệu xây dựng,15
IT - Phần cứng và máy tính,15
B2G,15
Digital Marketing,15
Sales Logistics,15
Sales Manager/Trưởng phòng kinh doanh,14
Giám sát dự án/công trình/thi công,13
Du lịch,13
Kế toán thuế,11
Kế toán nội bộ,11
Canva,11
chăm sóc khách hàng,11
Tiếng Nhật,11
Luật / Pháp chế,10
Payroll/C&B (Lương/Thưởng/Phúc lợi,10
Viễn thông,10
Xuất nhập khẩu,10
Phần mềm kế toán,9
Kỹ sư cơ điện,9
FAST,9
Microsoft office,9
Tuyển dụng,9
Tiếng Trung Giao tiếp thành thạo,9
Google Ads,9
Capcut,9
Hải quan,9
Nông lâm ngư nghiệp,8
Revit,8
Kinh doanh thiết bị/vật tư y tế,8
Quản lý cửa hàng/Cửa hàng trưởng,8
Content Marketing,8
Fanpage,8
Chuyên môn Kinh doanh/Bán hàng khác,7
Kho vận,7
Kinh doanh thiết bị công nghiệp,7
Chạy Ads,7
3DS Max,7
Tiếng Trung HSK 5,7
Sửa chữa/Bảo trì máy công nghiệp,7
Sales Admin/Sales Support/Sales Associate,7
Kinh doanh phần mềm,7
Quan hệ công chúng,7
TikTok Ads,7
Sales Tour/Kinh doanh du lịch,7
Vận tải,7
báo cáo quản trị,7
Telesale,7
Game,6
Chứng khoán,6
ASM/Quản lý khu vực/vùng miền,6
Bán hàng kỹ thuật cơ khí,6
Kinh doanh nội thất,6
ERP,6
Sales Xuất nhập khẩu/Logistics khác,6
Kỹ sư cơ khí,6
MS Office,6
Kinh doanh sàn thương mại điện tử,6
SEO,6
Salesforce,6
Premiere,6
Facebook Ads,6
Vận hành sàn thương mại điện tử,6
TikTok,6
MEP,6
Sales Representative/Phát triển kinh doanh,5
Call Center/Trực tổng đài,5
Năng lượng / Môi trường,5
Kỹ thuật điện/điện tử,5
Sales Director/Giám đốc kinh doanh,5
Kỹ sư hiện trường,5
Google Sheets,5
Tiếng Anh đọc hiểu,5
Chứng từ xuất nhập khẩu,5
Tin học văn phòng,5
Sales Kỹ thuật khác,5
Tiếng Trung HSK 4,5
Chuyên môn Xuất nhập khẩu/Logistics,5
Kỹ năng giao tiếp,5
Sales Manager,5
Kỹ sư điện,5
BHXH,5
Figma,5
CRM,5
MySQL,5
Illustrator,5
Bưu chính,5
Kỹ sư xây dựng,5
Kế toán công nợ,5
Sales Bán lẻ/Dịch vụ tiêu dùng khác,5
Kinh doanh dịch vụ quảng cáo,5
Tiếng Việt,5
hợp đồng,5
Excel nâng cao,5
FMCG,5
Công nợ phải thu,5
CPA,5
TSCĐ,5
Kỹ năng làm việc nhóm,4
Sales,4
Office,4
Marketing,4
Inventor,4
Bancassurance,4
Tiếng Trung Đọc hiểu,4
Báo chí,4
Biên phiên dịch tiếng Trung,4
Bán hàng kỹ thuật Điện/Điện tử/Viễn thông,4
Git,4
Docker,4
Solidworks,4
Bán hàng thời trang,4
An ninh mạng,4
Google Sheet,4
System Administrator,4
Marketing Manager,4
Misa (phần mềm kế toán,4
Kỹ thuật viên lắp đặt,4
Sales Marketing,4
máy tính,4
Tư vấn tuyển sinh/khoá học,4
AI,4
Sales Tài chính/Ngân hàng/Bảo hiểm khác,4
Bán hàng điện máy,4
Khai báo hải quan và kiểm dịch,4
TikTok Content,4
English,4
Kế toán kho/nguyên vật liệu,4
hạch toán,4
chấm công,4
Hóa đơn GTGT,4
Pivot Table,4
POSM,4
Hàng tiêu dùng,4
HSK 5,4
ROAS,4
phải trả,4
tài sản cố định,4
chứng chỉ hành nghề,4
BCTC,4
Khấu hao,4
Tư vấn đầu tư,3
Kinh doanh hoá chất,3
Bravo,3
Quản lý chất lượng (QA,3
Tự động hóa,3
3D Max,3
Quản trị rủi ro,3
Kỹ sư an toàn lao động (HSE,3
Kinh doanh kênh GT,3
Google Workspace,3
Vray,3
Quản lý dự án thi công xây dựng,3
Kỹ sư HVAC,3
Kỹ năng giao tiếp tốt,3
Bảo trì,3
Sửa chữa khác,3
Kỹ thuật Điện,3
Business Analyst (Phân tích nghiệp vụ,3
Adobe Premiere Pro,3
After Effects,3
Final Cut Pro,3
Điện toán đám mây (Cloud,3
Theo dõi,3
REST API,3
Bán hàng trang sức đá quý,3
Java,3
Photographer/Video Editor,3
giao tiếp tốt,3
Adobe Photoshop,3
Kỹ sư PCCC,3
Kubernetes,3
CATIA,3
ISO 9001,3
ISO 14001,3
Thu mua/Mua hàng,3
Brand Marketing,3
Luật Lao động,3
Luật BHXH,3
Power Point,3
Kế hoạch sản xuất,3
Quản lý nhà hàng,3
CapCut Pro,3
Tư vấn bảo hiểm,3
TikTok Shop,3
Facebook,3
Zalo,3
Tiếng Anh Giao tiếp thành thạo,3
phần mềm bán hàng,3
CAD,3
Tiếng Trung Giao tiếp cơ bản,3
Kinh doanh dịch vụ viễn thông,3
Data Analyst,3
Nhân sự tổng hợp,3
Thợ cơ khí,3
Hợp đồng lao động,3
Thanh toán quốc tế,3
CRM systems,3
Tiếng Trung Giao tiếp,3
GDS,3
shopdrawing,3
khai báo hải quan,3
KPIs,3
nghiệp vụ kế toán,3
báo giá,3
landing page,3
Bán lẻ,3
đại lý,3
Công nợ phải trả,3
Unit Test,3
ACCA,3
kiểm tra,3
Cơ quan thuế,3
hệ thống,3
kế hoạch kinh doanh,3
Payroll/C&B,3
Data khách hàng,3
CTR,3
tồn kho,3
Chat,3
CCDC,3
tư vấn bán hàng,3
Influencer Marketing,3
hóa đơn điện tử,3
mỹ phẩm,3
Chuẩn mực kế toán Việt Nam,3
Báo cáo thuế định kỳ,3
tín dụng ngân hàng,3
SMT,3
Tiếng Trung Quốc,3
Technical Leader,2
Phát thanh / Truyền hình,2
Kỹ năng đàm phán,2
Etabs,2
Kinh doanh thực phẩm,2
Phần mềm kế toán Misa,2
Account Manager,2
kinh doanh HORECA,2
Quản lý Kinh doanh khác,2
Bán hàng siêu thị/cửa hàng tiện ích/tiện lợi,2
Revit Architect,2
Data Engineer,2
Data Analytics,2
Quản lý/Trưởng phòng vận hành,2
advanced troubleshooting skills,2
Tiếng Anh Giao tiếp cơ bản,2
3DSmax,2
Kế toán bán hàng,2
Hàng hải,2
máy tính cơ bản,2
Kinh doanh tiệc/sự kiện/hội nghị,2
thuyết phục,2
Kỹ năng giải quyết vấn đề,2
PostgreSQL,2
Golang,2
Fullstack Developer,2
Trưởng phòng kinh doanh,2
GitLab CI,2
Thu hồi nợ,2
PLC,2
Sales Admin,2
Sales Support,2
Sales Associate,2
Kinh doanh ô tô/xe máy/xe điện,2
Auto cad,2
AI Engineer,2
BHYT,2
BHTN,2
Mỹ thuật / Nghệ thuật / Điện ảnh,2
Microsoft Offices,2
Lucidchart,2
Whimsical,2
NodeJS,2
Thuế khác,2
Social Media Management,2
Giao dịch viên,2
Digital Marketing (Facebook Ads,2
Kinh nghiệm triển khai chiến dịch khai trương,2
ra mắt sản phẩm,2
chương trình khuyến mãi,2
Hiểu hành vi khách hàng ngành F&B,2
SQL,2
Lumion,2
vi tính văn phòng,2
Backend Developer,2
Email Marketing,2
Lắp đặt/bảo trì thang máy,2
Pháp chế,2
Premiere Pro,2
Kỹ thuật viễn thông,2
Linux,2
Kinh doanh phụ tùng ô tô/xe máy/xe điện,2
Sales IT Phần mềm khác,2
ISO 45001,2
BIM,2
3D,2
POS,2
Quản trị nhân sự,2
Phân tích,2
giao tiếp,2
Outlook,2
NX,2
Tiếng Trung,2
Host Livestream/Streamer,2
Sales Sản xuất khác,2
