cv_id,job_id,cv_level,cv_category,job_title,job_category,pool_methods,method_ranks,relevance_median_4model,relevance_mean_4model,relevance_median_no_cohere,relevance_mean_no_cohere,is_relevant_median_4model_ge5,is_relevant_median_no_cohere_ge5,range_relevance_4model,range_relevance_no_cohere,range_experience_4model,range_experience_no_cohere
bds_L1,0feeda23a58657fb3da9dd93842f8249,L1,Bất động sản,"Sales/Telesales -B2C (Mảng Bất Động Sản, Bảo Hiểm)",Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 3, ""E2"": 1, ""E3"": 2, ""E2t"": 1, ""E3t"": 5}",5.5,5.75,6.0,6.0,True,True,2.0,2.0,6.0,6.0
bds_L1,977fab175ddb8388f706eeb3c008f647,L1,Bất động sản,Nhân Viên Kinh Doanh Bất Động Sản - Up To 20 Triệu - Làm Việc Tại TP.HCM Và Tây Ninh,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 1, ""E2"": 8, ""E3"": 9, ""E2t"": 2, ""E3t"": 2}",6.5,6.5,6.0,6.3333,True,True,3.0,3.0,4.0,4.0
bds_L1,aec1332725743a27f3ad83206c147a7c,L1,Bất động sản,Chuyên Viên/Cộng Tác Viên Kinh Doanh,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 4, ""E2"": 2, ""E3"": 1, ""E2t"": 3, ""E3t"": 1}",4.0,4.0,4.0,4.0,False,False,0.0,0.0,2.0,2.0
bds_L1,a8bc9b3fa0e4282fe5b1ca0832888316,L1,Bất động sản,"Nhân Viên Sales/Tư Vấn Dịch Vụ Đầu Tư Bất Động Sản, Căn Hộ, Biệt Thự| Data Có Sẵn | Hoa Hồng Cao | Không Áp Lực Kinh Nghiệm",Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 2, ""E2"": 4, ""E3"": 3, ""E2t"": 5, ""E3t"": 3}",7.0,7.25,7.0,7.3333,True,True,3.0,3.0,2.0,2.0
bds_L1,5a03c49c36a0d3d0357876623bdc2f52,L1,Bất động sản,Nhân Viên Kinh Doanh/Sales Bất Động Sản,Bất động sản,E1|E2|E3|E2t,"{""E1"": 8, ""E2"": 3, ""E3"": 7, ""E2t"": 4}",7.0,7.0,7.0,7.0,True,True,2.0,2.0,2.0,2.0
bds_L1,9ffbdf538230596381367c97689f8c9c,L1,Bất động sản,Nhân Viên Kinh Doanh/Sales BĐS/Tư Vấn Bán Hàng - Phỏng Vấn Nhân Việc Ngay (Chế Độ Hấp Dẫn),Bất động sản,E2|E3|E2t|E3t,"{""E2"": 6, ""E3"": 4, ""E2t"": 8, ""E3t"": 4}",7.0,6.75,7.0,6.6667,True,True,1.0,1.0,0.0,0.0
bds_L1,67d7ca9e78db42dd0158cf2e9a95c683,L1,Bất động sản,Trưởng Phòng Kinh Doanh,Bất động sản,E1|E2|E3|E2t,"{""E1"": 9, ""E2"": 7, ""E3"": 5, ""E2t"": 10}",3.5,3.25,3.0,3.0,False,False,2.0,2.0,7.0,7.0
bds_L1,d4165adb9e49d91a6aed89db6d179ff2,L1,Bất động sản,Nhân Viên Kinh Doanh/ Sales/ Tư Vấn Bất Động Sản -Không Yêu Cầu Kinh Nghiệm - Thu Nhập Hấp Dẫn,Bất động sản,E1|E2|E3|E2t|E3t,"{""E1"": 6, ""E2"": 5, ""E3"": 6, ""E2t"": 7, ""E3t"": 7}",7.0,7.0,7.0,7.0,True,True,2.0,2.0,0.0,0.0
bds_L1,e43ade755d9156bda5212d5e23303442,L1,Bất động sản,Nhân Viên Kinh Doanh/Sales Bất Động Sản/ Nhân Viên Tư Vấn BĐS - Thu Nhập Trên 50 Triệu (Tự Do Thời Gian) - Nguồn Nhà/Nguồn Khách Có Sẵn,Bất động sản,E1|E2t|E3t,"{""E1"": 5, ""E2t"": 9, ""E3t"": 8}",6.5,6.5,7.0,7.0,True,True,3.0,2.0,0.0,0.0
bds_L1,003adf1bed892025f4d597b68bc2e93a,L1,Bất động sản,Nhân Viên Kinh Doanh Bất Động Sản,Bất động sản,E2|E3|E3t,"{""E2"": 10, ""E3"": 8, ""E3t"": 6}",7.0,6.75,7.0,6.6667,True,True,1.0,1.0,2.0,2.0
